time,open,high,low,close,vwap,volume,count
2025-06-14 08:00:00,315.27,316.95,315.16,316.94,316.12,71.15105061,110
2025-06-14 08:15:00,316.71,317.91,316.71,317.72,317.71,55.35184098,51
2025-06-14 08:30:00,318.04,318.52,318.04,318.11,318.19,6.89161823,27
2025-06-14 08:45:00,318.50,318.60,315.46,315.46,317.81,1.54908301,20
2025-06-14 09:00:00,315.88,316.81,315.08,315.40,315.56,25.70128150,26
2025-06-14 09:15:00,314.93,314.93,313.01,313.40,313.55,60.57857971,124
2025-06-14 09:30:00,312.86,312.88,312.27,312.83,312.78,2.45936162,16
2025-06-14 09:45:00,312.70,313.32,311.28,312.44,311.98,50.14627919,95
2025-06-14 10:00:00,312.26,313.44,311.69,313.00,312.55,82.17386974,83
2025-06-14 10:15:00,313.27,313.47,312.60,313.12,312.91,22.15236188,19
2025-06-14 10:30:00,312.49,313.60,312.49,313.35,313.12,4.47934836,12
2025-06-14 10:45:00,313.29,314.76,313.29,314.76,313.78,6.25715078,18
2025-06-14 11:00:00,314.79,315.99,314.79,315.91,315.82,16.93757236,30
2025-06-14 11:15:00,315.88,315.88,315.19,315.29,315.68,1.44325000,6
2025-06-14 11:30:00,315.54,316.48,315.32,315.38,316.03,12.78050760,22
2025-06-14 11:45:00,314.74,315.35,314.04,314.67,314.43,5.54653060,19
2025-06-14 12:00:00,315.29,315.33,313.55,313.55,313.97,32.13993783,39
2025-06-14 12:15:00,313.51,313.51,312.02,312.13,312.35,10.32397381,35
2025-06-14 12:30:00,312.49,313.56,312.25,313.22,313.08,16.43356480,41
2025-06-14 12:45:00,313.56,314.25,313.26,313.26,313.59,29.98379371,17
2025-06-14 13:00:00,313.74,315.10,313.66,314.83,314.76,8.31986445,27
2025-06-14 13:15:00,315.10,315.51,315.10,315.20,315.23,4.82740369,13
2025-06-14 13:30:00,315.09,315.75,314.12,315.31,315.51,69.84172155,55
2025-06-14 13:45:00,315.44,315.86,315.02,315.70,315.66,21.04324060,24
2025-06-14 14:00:00,315.46,315.51,314.60,315.19,315.06,25.13625071,73
2025-06-14 14:15:00,314.06,314.06,312.22,312.30,312.34,4.59171541,10
2025-06-14 14:30:00,312.68,313.12,312.68,313.06,312.95,9.77156824,20
2025-06-14 14:45:00,312.68,312.95,311.76,312.22,312.18,79.80782764,65
2025-06-14 15:00:00,312.02,313.00,312.02,312.74,312.60,8.37600204,25
2025-06-14 15:15:00,312.71,313.17,311.51,311.51,312.14,19.02491404,40
2025-06-14 15:30:00,311.51,312.13,311.03,312.13,311.40,54.52424899,57
2025-06-14 15:45:00,311.89,311.92,310.51,310.51,311.01,20.01474222,35
2025-06-14 16:00:00,310.76,312.90,310.24,312.24,311.74,54.46269649,46
2025-06-14 16:15:00,312.23,314.28,312.23,314.28,313.69,53.99717976,52
2025-06-14 16:30:00,313.97,313.97,311.98,312.00,312.71,9.95526452,23
2025-06-14 16:45:00,311.79,312.11,308.81,310.07,309.71,49.92542901,52
2025-06-14 17:00:00,310.11,312.14,309.56,311.79,310.67,13.22528855,30
2025-06-14 17:15:00,312.52,313.82,311.33,313.56,313.37,15.83789000,34
2025-06-14 17:30:00,312.90,312.90,310.40,310.40,312.09,5.49383663,15
2025-06-14 17:45:00,311.32,311.59,309.89,309.89,311.07,13.35173184,30
2025-06-14 18:00:00,310.26,313.20,309.82,313.20,311.06,9.61892065,17
2025-06-14 18:15:00,312.64,312.64,310.85,310.85,311.77,36.08959218,76
2025-06-14 18:30:00,311.29,311.64,309.55,309.55,310.22,24.47766187,53
2025-06-14 18:45:00,309.35,311.02,309.35,310.57,310.59,14.82974557,20
2025-06-14 19:00:00,310.29,310.32,309.35,310.32,309.72,15.11999194,46
2025-06-14 19:15:00,310.44,310.44,309.46,309.80,309.83,2.43319183,10
2025-06-14 19:30:00,309.87,312.08,309.54,311.60,311.44,50.65441169,91
2025-06-14 19:45:00,311.75,312.41,311.31,312.33,312.29,10.21293902,34
2025-06-14 20:00:00,311.61,311.75,309.08,309.72,309.77,31.93479303,30
2025-06-14 20:15:00,309.44,310.37,308.28,308.77,308.72,40.88764264,67
2025-06-14 20:30:00,308.29,308.29,307.48,307.95,308.21,12.69439679,25
2025-06-14 20:45:00,308.49,308.94,307.81,308.51,308.80,5.27101682,16
2025-06-14 21:00:00,308.51,309.80,308.10,309.61,308.57,60.17204159,64
2025-06-14 21:15:00,309.60,311.97,309.00,311.97,309.53,64.18300125,84
2025-06-14 21:30:00,311.87,313.06,311.87,313.02,312.32,12.16707198,17
2025-06-14 21:45:00,313.43,313.43,312.63,312.63,312.91,10.22237886,10
2025-06-14 22:00:00,312.89,313.85,311.98,311.98,313.35,20.39290623,15
2025-06-14 22:15:00,312.32,312.32,311.01,311.01,312.24,32.71801690,11
2025-06-14 22:30:00,311.23,311.23,310.20,310.20,310.60,118.88485975,56
2025-06-14 22:45:00,310.15,310.75,310.15,310.23,310.69,15.68066342,19
2025-06-14 23:00:00,310.56,311.97,310.56,311.60,311.45,7.23205705,16
2025-06-14 23:15:00,311.65,313.21,311.65,312.43,312.43,6.75366737,14
2025-06-14 23:30:00,312.61,313.51,312.45,313.51,312.84,26.71820202,19
2025-06-14 23:45:00,313.61,313.71,312.23,312.48,312.89,22.99985076,25
2025-06-15 00:00:00,312.43,312.47,311.83,312.00,312.35,2.59485910,9
2025-06-15 00:15:00,312.00,312.23,311.80,311.99,312.03,105.06392865,78
2025-06-15 00:30:00,311.86,312.19,311.72,312.17,312.01,13.47502263,17
2025-06-15 00:45:00,312.24,312.43,312.21,312.21,312.28,3.54877000,6
2025-06-15 01:00:00,312.13,312.13,311.41,311.92,311.60,19.33786250,23
2025-06-15 01:15:00,312.12,312.34,311.48,311.48,312.09,71.70571506,27
2025-06-15 01:30:00,311.38,311.92,310.72,311.92,311.34,9.85752660,21
2025-06-15 01:45:00,311.70,313.93,311.70,313.79,313.14,25.71120467,54
2025-06-15 02:00:00,313.55,314.98,313.55,314.15,314.24,64.82249621,50
2025-06-15 02:15:00,313.86,313.86,312.63,312.63,313.39,2.38040931,8
2025-06-15 02:30:00,312.53,313.35,312.53,313.35,313.01,5.71420817,16
2025-06-15 02:45:00,312.84,314.21,312.68,314.02,313.30,11.42625770,42
2025-06-15 03:00:00,314.07,314.15,313.49,313.49,313.65,4.26405000,10
2025-06-15 03:15:00,314.51,314.99,314.13,314.99,314.77,7.21125415,15
2025-06-15 03:30:00,314.98,315.99,314.59,315.98,315.33,54.98137016,77
2025-06-15 03:45:00,315.99,316.70,315.79,316.38,316.33,34.49891709,57
2025-06-15 04:00:00,316.66,316.76,316.14,316.20,316.46,15.12970438,29
2025-06-15 04:15:00,316.20,316.20,314.54,315.55,315.14,23.50096148,39
2025-06-15 04:30:00,315.34,315.39,315.03,315.03,315.29,3.36011919,7
2025-06-15 04:45:00,315.38,315.85,315.33,315.35,315.44,5.36477000,12
2025-06-15 05:00:00,315.32,316.90,315.12,316.68,315.60,61.25431396,88
2025-06-15 05:15:00,316.54,316.99,315.86,316.99,316.26,23.45104521,17
2025-06-15 05:30:00,316.84,317.10,316.76,317.09,317.02,37.44541242,47
2025-06-15 05:45:00,317.10,317.10,316.58,316.80,317.05,81.15112803,47
2025-06-15 06:00:00,316.50,316.69,315.15,315.67,316.09,8.94340709,11
2025-06-15 06:15:00,315.78,315.78,315.05,315.56,315.32,9.64139550,34
