time,close,signal,next_close,position,strategy_return,cumulative_return,buy_and_hold,raw_return,strategy_return_capped,position_change,fee,strategy_return_net,cumulative_return_net
2023-06-14,133.98,1,134.56,1,0.004329004329004423,1.0043290043290045,1.0,0.004329004329004423,0.004329004329004423,True,0.001,0.0033290043290044227,1.0033290043290044
2023-06-15,134.56,0,134.66,1,0.0007431629013079245,1.0050753843857294,1.0043290043290045,0.0007431629013079245,0.0007431629013079245,False,0.0,0.0007431629013079245,1.0040746412228279
2023-06-16,134.66,0,136.38,1,0.012772909549977713,1.0179131213613974,1.0050753843857292,0.012772909549977713,0.012772909549977713,False,0.0,0.012772909549977713,1.0168995957965934
2023-06-17,136.38,0,137.23,1,0.006232585423082522,1.024257351843559,1.0179131213613972,0.006232585423082522,0.006232585423082522,False,0.0,0.006232585423082522,1.0232375093940937
2023-06-18,137.23,0,138.28,1,0.007651388180427104,1.0320943424391704,1.0242573518435587,0.007651388180427104,0.007651388180427104,False,0.0,0.007651388180427104,1.0310666967792415
2023-06-19,138.28,0,141.85,1,0.025817182528203596,1.0587401104642489,1.0320943424391702,0.025817182528203596,0.025817182528203596,False,0.0,0.025817182528203596,1.0576859338887432
2023-06-20,141.85,0,145.12,1,0.023052520267888687,1.0831467383191526,1.0587401104642484,0.023052520267888687,0.023052520267888687,False,0.0,0.023052520267888687,1.0820682603167742
2023-06-21,145.12,0,149.92,1,0.03307607497243648,1.118972981041947,1.0831467383191522,0.03307607497243648,0.03307607497243648,False,0.0,0.03307607497243648,1.1178588312203057
2023-06-22,149.92,0,154.53,1,0.030749733191035314,1.1533811016569644,1.1189729810419466,0.030749733191035314,0.030749733191035314,False,0.0,0.030749733191035314,1.1522326920255728
2023-06-23,154.53,-1,156.58,0,-0.013266032485601575,1.1380803104941042,1.1533811016569637,0.013266032485601575,0.013266032485601575,True,0.001,-0.014266032485601574,1.1357949030101637
2023-06-24,156.58,-1,163.26,0,-0.04266189807127333,1.0895276442908817,1.168681892819824,0.04266189807127333,0.04266189807127333,False,0.0,-0.04266189807127333,1.0873397366280724
2023-06-25,163.26,-1,163.59,0,-0.0020213156927600916,1.0873253649657806,1.218540080609046,0.0020213156927600916,0.0020213156927600916,False,0.0,-0.0020213156927600916,1.0851418797550645
2023-06-26,163.59,-1,167.92,0,-0.026468610550767064,1.0585453733385306,1.2210031347962385,0.026468610550767064,0.026468610550767064,False,0.0,-0.026468610550767064,1.0564196819475002
2023-06-27,167.92,-1,164.64,0,0.0195331110052406,1.079222057620036,1.2533213912524257,-0.0195331110052406,-0.0195331110052406,False,0.0,0.0195331110052406,1.0770548448631017
2023-06-28,164.64,-1,164.15,0,0.002976190476190359,1.0824340280296194,1.2288401253918495,-0.002976190476190359,-0.002976190476190359,False,0.0,0.002976190476190359,1.080260365234718
2023-06-29,164.15,-1,168.24,0,-0.024916235150776747,1.0554638472520308,1.2251828631138977,0.024916235150776747,0.024916235150776747,False,0.0,-0.024916235150776747,1.0533443439504657
2023-06-30,168.24,-1,167.12,0,0.006657156443176442,1.0624902352033045,1.2557098074339454,-0.006657156443176442,-0.006657156443176442,False,0.0,0.006657156443176442,1.0603566220366791
2023-07-01,167.12,-1,168.59,0,-0.008796074676878882,1.0531444917510016,1.2473503507986268,0.008796074676878882,0.008796074676878882,False,0.0,-0.008796074676878882,1.0510296460051214
