time,open,high,low,close,vwap,volume,sma_20,ema_20,rsi_14,bb_bbm,bb_bbh,bb_bbl,bb_width,log_return,volatility_14,entropy_14
2023-06-19,137.42,139.3,136.3,138.28,137.7,3772.55695329,141.131,139.91145559968646,43.020349059454084,141.131,150.7890782767588,131.4729217232412,19.3161565535176,0.0076222647718821495,0.020492045999438244,1.6731183632847881
2023-06-20,138.11,142.78,137.32,141.85,140.33,4784.56636596,140.924,140.09607887590678,52.0097479139226,140.924,150.33083241054078,131.51716758945923,18.813664821081545,0.025489546201436567,0.018334245262736307,1.9701814403679885
2023-06-21,141.57,145.9,141.18,145.12,143.98,6826.72716519,140.8565,140.57454755439187,58.47241470487186,140.8565,150.12148413382346,131.59151586617656,18.529968267646893,0.022790825111966125,0.01920405729695867,1.8711604147362935
2023-06-22,145.26,153.05,145.19,149.92,148.95,10124.19127218,141.0445,141.4645906444498,65.76120386371602,141.0445,150.8680705830416,131.2209294169584,19.647141166083202,0.03254083212328557,0.02031066680579776,1.9459101494345616
2023-06-23,149.92,155.46,149.04,154.53,151.88,7365.64243983,141.3475,142.70891534497838,71.02179511983672,141.3475,152.369270955704,130.325729044296,22.043541911408,0.030286433755491622,0.021527560067747586,1.970181440402676
2023-06-24,154.5,159.81,153.48,156.58,156.09,6756.32242437,141.762,144.02997102640902,73.00784968177956,141.762,154.3142246633814,129.2097753366186,25.10444932676279,0.013178809234164627,0.016920115010564802,2.007556307739764
2023-06-25,156.68,166.08,156.07,163.26,162.0,6470.01372009,142.865,145.8614023572272,78.24102626705374,142.865,158.51944154225885,127.21055845774117,31.308883084517674,0.04177696054344174,0.018882236324167783,1.970181440377544
2023-06-26,163.25,165.92,158.43,163.59,163.25,6711.22837799,143.6895,147.54984022796748,78.46316887653202,143.6895,161.70783563345958,125.67116436654044,36.03667126691914,0.0020192755828699347,0.01904016711179545,1.809514256374869
2023-06-27,163.86,170.79,163.6,167.92,168.08,6232.17655823,144.831,149.48985544435152,81.17841003952189,144.831,165.723091230894,123.93890876910598,41.78418246178802,0.02612437790629749,0.015955787224882514,2.0075563077449106
2023-06-28,167.7,170.51,162.8,164.64,166.38,4052.51588413,145.935,150.9327263544133,73.60795492648452,145.935,168.49718118888325,123.37281881111674,45.1243623777665,-0.019726403426638058,0.016133521637060284,2.0075563077502423
2023-06-29,164.58,167.9,160.7,164.15,164.66,7767.19804151,146.964,152.19151432065965,72.51991297246363,146.964,170.83982995416068,123.0881700458393,47.75165990832137,-0.002980628138137678,0.016606545426266783,2.1439522008016914
2023-06-30,164.03,169.49,160.87,168.24,166.31,14513.68881608,148.48700000000002,153.71994152821586,75.74298596350664,148.48700000000002,173.67512426521668,123.29887573478337,50.376248530433315,0.024610887446842724,0.016342035180245483,2.106577333394006
2023-07-01,168.42,169.22,166.76,167.12,168.2,2820.55462461,149.93599999999998,154.99613757314768,73.2107380600755,149.93599999999998,175.89883605463768,123.97316394536227,51.92567210927541,-0.006679414146134019,0.01741937240412604,2.106577333394006
2023-07-02,166.82,168.64,163.0,168.59,165.02,2224.47610182,151.35500000000002,156.2907911376098,74.41954264520524,151.35500000000002,178.12606535048607,124.58393464951395,53.54213070097212,0.008757614579399508,0.01733913789192913,2.106577333394006
2023-07-03,168.7,172.49,167.38,168.86,169.26,3953.21391799,152.973,157.48785864831362,74.64583804361676,152.973,179.86852089103306,126.07747910896697,53.79104178206609,0.00160023741364421,0.017600968129673693,2.106577333394006
2023-07-04,168.59,170.99,166.26,166.27,168.59,4690.60950901,154.5875,158.32425306275994,68.39534012599447,154.5875,180.59053511130952,128.5844648886905,52.00607022261903,-0.015456996189065863,0.018944118850577344,2.1439522008016914
2023-07-05,166.28,169.69,161.94,166.78,165.7,5531.1012876,156.1985,159.12956229487804,68.94674579966409,156.1985,181.0034956863531,131.3935043136469,49.60999137270619,0.003062605606551161,0.01876015083280885,2.0075563077502423
2023-07-06,166.78,169.66,164.0,165.61,167.07,5361.57507744,157.746,159.746746838223,66.0976534889565,157.746,180.78168223430762,134.7103177656924,46.07136446861523,-0.0070399520574396844,0.018061058892549164,1.9701814403425573
2023-07-07,165.47,168.56,163.94,165.49,165.61,5324.75234601,159.20149999999998,160.2937233298208,65.79733565464363,159.20149999999998,180.2457735916447,138.15722640835526,42.08854718328945,-0.0007248565705477274,0.016861749217016886,1.8095142563225544
2023-07-08,165.51,168.89,165.28,167.2,166.34,6076.37788796,160.7,160.95146396507596,68.02670499384944,160.7,179.4116348831414,141.98836511685857,37.42326976628283,0.010279930619749272,0.01676973982762801,1.7104932306787906
2023-07-09,167.24,168.8,165.17,165.79,167.36,2684.86422215,162.0755,161.41227692078303,64.30473616289612,162.0755,177.79833749836507,146.35266250163494,31.445674996730133,-0.008468773399227374,0.013223036293495978,1.7104932305254237
2023-07-10,165.7,166.82,163.18,163.58,165.36,2756.68914741,163.162,161.61872673785132,58.86808979993049,163.162,175.855471707929,150.468528292071,25.386943415858013,-0.013419759944545685,0.013772705999653544,1.8711604145839855
2023-07-11,163.57,165.5,163.0,165.13,164.34,2612.23082636,164.1625,161.95313371519882,61.33701329018176,164.1625,173.7953643196089,154.5296356803911,19.265728639217798,0.009430875168068897,0.01193683337487272,1.9701814402571292
2023-07-12,165.17,165.43,162.81,163.31,163.86,2151.29386565,164.83200000000002,162.0823590756561,57.00985240598497,164.83200000000002,171.94359222677974,157.7204077732203,14.22318445355944,-0.011082807386244996,0.011098834201808053,1.9085352819502908
2023-07-13,163.12,167.7,161.76,165.32,164.02,5740.06783066,165.3715,162.3907058303555,60.33772995407068,165.3715,170.6848690818532,160.0581309181468,10.62673816370642,0.012232754554879703,0.011579975498121566,1.846889123571861
2023-07-14,165.32,166.52,156.67,160.67,161.75,5603.1621681,165.576,162.22682908460735,50.5824480388879,165.576,169.7024192709895,161.44958072901048,8.252838541979031,-0.028530417588287903,0.011779182679083075,1.8468891235770446
2023-07-15,160.52,166.22,158.98,164.76,162.39,3168.42043827,165.651,162.46808345750188,57.145453945159474,165.651,169.6591462049174,161.64285379508263,8.016292409834762,0.025137297512636256,0.01394483359832602,1.970181440303701
2023-07-16,164.81,166.22,163.34,165.39,164.89,1653.55057314,165.741,162.74636122345407,58.06920841648815,165.741,169.63932220320407,161.84267779679595,7.79664440640812,0.0038164517018219957,0.013739458455611744,1.970181440303701
2023-07-17,165.46,169.0,163.01,168.47,166.58,6977.17027456,165.7685,163.29146967836323,62.34288408332911,165.7685,169.73508177780235,161.80191822219763,7.933163555604722,0.01845137112841078,0.014722528373189454,2.1065773333741125
2023-07-18,168.34,168.91,164.25,166.96,166.82,3396.21169735,165.8845,163.64085351851912,59.15939658562778,165.8845,169.84798066729152,161.92101933270848,7.926961334583041,-0.009003429629167328,0.014301927889629126,2.0692024659659087
2023-07-19,167.02,170.21,165.13,165.85,168.24,3661.43196765,165.9695,163.8512484215173,56.86081433359903,165.9695,169.85264550332508,162.08635449667494,7.766291006650135,-0.006670497375883983,0.0143933595385013,2.0692024659659087
2023-07-20,165.85,168.35,163.43,165.75,165.64,2222.26660772,165.84499999999997,164.0320819051823,56.647275412420264,165.84499999999997,169.58604530846574,162.1039546915342,7.4820906169315435,-0.0006031363270894689,0.014267175037703469,2.0692024659659087
2023-07-21,165.87,166.21,160.45,162.1,163.03,3663.68493238,165.594,163.84807410468875,49.360709314161255,165.594,169.62181528871344,161.56618471128655,8.055630577426882,-0.022267200324341502,0.015469411292724297,2.168223491628117
2023-07-22,161.99,163.76,161.22,162.12,162.57,1708.95366533,165.2705,163.68349561852793,49.39911749947323,165.2705,169.32305709398324,161.21794290601676,8.105114187966478,0.00012337301847750344,0.01510953434675249,2.2055983590363204
2023-07-23,162.02,166.38,161.68,163.78,164.33,2816.99531786,165.0165,163.69268651200144,52.61180938934398,165.0165,168.76250734115592,161.2704926588441,7.492014682311833,0.010187262081934469,0.015335489783309834,2.2055983590363204
2023-07-24,163.87,164.52,160.05,160.99,162.02,2701.64544822,164.7525,163.43528779657274,47.18890794886783,164.7525,168.83686959639968,160.66813040360032,8.168739192799364,-0.017181812587839147,0.015602914996344813,2.2055983590363204
2023-07-25,161.0,163.0,159.9,162.91,161.79,2205.20052615,164.559,163.38526038737533,50.936791813234976,164.559,168.60734731711523,160.51065268288477,8.09669463423046,0.011855649823874955,0.015742118784788556,2.2055983590363204
2023-07-26,162.98,163.56,161.37,162.82,162.67,2411.64019284,164.4195,163.33142606476815,50.754961851796125,164.4195,168.50547344582588,160.3335265541741,8.171946891651771,-0.0005526049322463524,0.015470824762877856,2.168223491628117
2023-07-27,162.81,164.09,161.26,162.18,162.67,1649.25899953,164.254,163.22176643955214,49.404378334074146,164.254,168.42047284882477,160.0875271511752,8.332945697649563,-0.003938466629420295,0.015068442766085703,2.2055983590363204
2023-07-28,162.03,164.49,161.94,163.09,163.31,2210.63696749,164.0485,163.20921725483288,51.385253322735956,164.0485,168.01407322464158,160.0829267753584,7.931146449283176,0.005595366152415065,0.012947763068188865,2.2055983590351618
2023-07-29,162.83,164.31,162.21,163.2,163.23,1078.04056221,163.91899999999998,163.20833942103928,51.631766610331375,163.91899999999998,167.81721959360863,160.02078040639134,7.796439187217288,0.0006742468611800324,0.010945491763506789,2.044931174962612
2023-07-30,163.18,163.76,158.53,160.37,161.93,2404.99460402,163.7585,162.9380213809403,45.27149609774543,163.7585,167.9524445632953,159.5645554367047,8.387889126590608,-0.017492797009289057,0.011725995994222945,2.044931174962612
2023-07-31,160.36,161.9,159.8,161.23,160.73,3909.68272825,163.5635,162.77535267799362,47.39231925784503,163.5635,167.84596786327631,159.2810321367237,8.56493572655262,0.005348271454930772,0.010398512964978162,1.9459101492361468
2023-08-01,161.28,163.56,157.43,160.28,160.38,5166.22326302,163.41199999999998,162.53770004199424,45.303814407660404,163.41199999999998,167.92765543415283,158.89634456584713,9.031310868305695,-0.00590963120770459,0.010296639381947144,1.8468891235273865
2023-08-02,160.36,161.02,158.81,159.98,160.08,4548.37920997,163.145,162.2941095618043,44.634878945464315,163.145,167.80693307545212,158.4830669245479,9.323866150904223,-0.0018734783472680947,0.010241779329618736,1.8468891235273865
2023-08-03,160.0,161.47,159.8,160.35,160.24,11714.10988183,163.129,162.1089562702039,45.69979667798013,163.129,167.82685866113425,158.43114133886573,9.395717322268524,0.002310118718488188,0.010314240454652885,2.0075563076151846
2023-08-04,160.33,161.59,157.4,158.59,159.31,4240.56578341,162.82049999999998,161.77381757780353,41.60080388280057,162.82049999999998,167.84818923065,157.79281076934996,10.055378461300052,-0.011036670628654311,0.009000411894034915,2.007556307591255
2023-08-05,158.49,161.1,157.62,159.57,158.91,2222.00390489,162.5295,161.5639301894413,44.58148725505987,162.5295,167.6021343254757,157.45686567452432,10.14526865095138,0.006160441911826311,0.009229170717416005,2.1439522007213507
2023-08-06,159.47,160.76,159.17,159.48,159.82,1556.2213178,162.08,161.36546064758974,44.35757498731281,162.08,166.52132863003789,157.63867136996214,8.882657260075746,-0.000564174909181696,0.00864353641099752,2.1065773333115385
2023-08-07,159.52,160.72,157.2,158.43,158.81,2337.63225412,161.6535,161.08589296686694,41.724598532456724,161.6535,165.7643893198424,157.54261068015762,8.221778639684771,-0.006605667126202634,0.007604996480081586,2.1065773333115385
2023-08-08,158.45,160.1,157.9,158.93,158.87,1563.16698939,161.3075,160.88056982716532,43.44609896530652,161.3075,165.0998495355774,157.51515046442262,7.584699071154773,0.003150998321776837,0.006770381620462377,1.9701814401523154
2023-08-09,158.93,159.56,156.5,157.3,158.25,4744.62956031,160.885,160.5395631769591,39.36366070678582,160.885,164.4812118958696,157.2887881041304,7.192423791739202,-0.010309043644496002,0.007128453216174533,2.1065773332966367
2023-08-10,157.31,157.56,154.32,156.09,155.27,4441.85635338,160.5845,160.11579525534395,36.613297014809305,160.5845,164.69238254457133,156.47661745542865,8.215765089142678,-0.00772204609391039,0.007259192748674723,1.9701814401523154
2023-08-11,156.06,157.82,155.48,156.74,156.32,4313.76869179,160.3155,159.79429094531122,39.075911100800454,160.3155,164.6823912283218,155.94860877167818,8.73378245664361,0.004155617654396785,0.007141359803484692,1.9701814401523154
2023-08-12,156.74,158.19,156.54,157.92,157.3,2211.11135104,160.02249999999998,159.61578704575777,43.37668693791728,160.02249999999998,164.20262858653817,155.8423714134618,8.360257173076377,0.007500194060452793,0.007616701241973629,2.00755630756929
2023-08-13,157.92,159.49,156.96,158.2,158.7,1792.06158308,159.88299999999998,159.48095018425704,44.38002947720547,159.88299999999998,164.11061445734987,155.6553855426501,8.455228914699774,0.0017714796483820209,0.006296059014365456,2.1439522006936595
2023-08-14,158.2,159.87,157.44,158.25,158.37,6126.92039214,159.65,159.36371683337543,44.56891730266862,159.65,163.69429969215855,155.60570030784146,8.088599384317092,0.0003160056907321093,0.0060460906156465394,2.1439522006936595
2023-08-15,158.29,158.55,154.79,155.29,157.12,3157.23085636,159.27349999999998,158.9757438016254,36.63667976507066,159.27349999999998,163.46652885751976,155.0804711424802,8.386057715039556,-0.018881724443187864,0.007596667576218912,2.0075563075763103
2023-08-16,155.47,156.29,152.75,154.01,154.63,4676.65115838,158.865,158.50281582051824,33.83253095598147,158.865,163.42190026223898,154.30809973776104,9.113800524477938,-0.008276801210723592,0.007762614675152528,1.9701814401663016
2023-08-17,153.92,154.65,136.78,141.75,148.12,6569.18240033,157.798,156.90730955189744,18.90617477766166,157.798,166.23754406351392,149.35845593648608,16.879088127027842,-0.08295259276251266,0.022662490819286698,1.1709971275037
2023-08-18,141.77,145.3,140.64,143.68,143.37,2107.98445032,156.822,155.64756578505006,24.549474344952472,156.822,166.8938848285707,146.75011517142931,20.143769657141377,0.013523661946028115,0.02341471740874805,1.4508050213029005
2023-08-19,143.65,145.3,143.09,144.31,144.25,1038.83041726,156.01899999999998,154.5677976150453,26.351160535085896,156.01899999999998,167.31749529804708,144.72050470195288,22.5969905960942,0.004375158894096947,0.02334197131865156,1.4508050213029005
2023-08-20,144.46,149.14,143.57,147.35,147.44,2209.03109644,155.325,153.88038831837432,34.481331202111434,155.325,166.95809331175468,143.6919066882453,23.266186623509384,0.020846945735717333,0.024482349962117966,1.4377014449507879
2023-08-21,147.34,149.77,144.71,149.61,147.89,3791.72281713,154.79149999999998,153.47368466900534,39.80165253014018,154.79149999999998,166.44534962147665,143.13765037852332,23.307699242953333,0.01522119904243737,0.025103937101046043,1.4377014449507879
2023-08-22,149.61,149.84,143.53,145.5,147.1,3016.01075756,154.0675,152.71428612910006,34.340357092693125,154.0675,166.13389113405458,142.0011088659454,24.132782268109167,-0.027855821614593806,0.025774638585135522,1.6307991056298314
2023-08-23,145.5,146.4,142.57,142.94,144.12,4362.73196398,153.197,151.78340173585244,31.446056800862394,153.197,165.82383665848224,140.57016334151777,25.253673316964466,-0.01775112481971443,0.02593975624457984,1.6307991056298314
2023-08-24,143.14,143.23,135.81,138.56,138.73,10532.80112621,152.19549999999998,150.52403014196173,27.219069993060316,152.19549999999998,166.06836772805067,138.3226322719493,27.745735456101386,-0.03112151697770779,0.02674254402862901,1.7298201311755184
2023-08-25,138.57,140.3,137.24,140.16,139.03,2093.99686464,151.225,149.5369796522511,30.874460560703525,151.225,165.60495062578414,136.84504937421585,28.759901251568294,0.011481182373956232,0.027078962574629484,1.7478680982598112
2023-08-26,140.16,144.79,140.16,142.93,142.43,4605.358404,150.3975,148.90774349489385,36.793140659488444,150.3975,164.6865291832577,136.1084708167423,28.578058366515393,0.019570372732942706,0.02779269059892322,1.7298201311755186
2023-08-27,142.97,145.89,142.81,145.34,144.52,1416.09809724,149.743,148.56795840014206,41.487306022235884,149.743,163.69557409942658,135.7904259005734,27.90514819885317,0.01672082526746591,0.028440376700583532,1.67311836344705
2023-08-28,145.34,146.61,142.43,145.35,145.01,2216.44086705,149.06400000000002,148.26148617155712,41.50671791146867,149.06400000000002,162.47331228661596,135.65468771338408,26.818624573231887,6.880181639510592e-05,0.028436192697905732,1.6731183634470497
2023-08-29,145.27,148.38,143.01,146.84,145.82,5421.60629933,148.541,148.12610653617074,44.46316291604439,148.541,161.43046996582828,135.6515300341717,25.778939931656566,0.010198931623748589,0.02849070996574449,1.67311836344705
