time,close,rsi_14,signal,returns,volatility,volatility_zscore,filtered_signal,future_return,strategy_return,cumulative_return,actual_direction,predicted_direction
2025-06-02 14:00:00,364.49,,-1,,,,0,-0.1273011605256661,-0.0,1.0,-1,0
2025-06-03 21:35:00,345.47,,0,-0.05218250157754667,,,0,-0.08006483920456198,-0.0,1.0,-1,0
2025-06-03 21:40:00,345.47,,0,0.0,,,0,-0.07928329522100341,-0.0,1.0,-1,0
2025-06-03 21:45:00,343.38,,0,-0.006049729354213218,,,0,-0.07420350631952943,-0.0,1.0,-1,0
2025-06-03 21:50:00,344.39,,0,0.0029413477779718367,,,0,-0.07688957286796938,-0.0,1.0,-1,0
2025-06-05 03:45:00,317.99,,0,-0.07665727808589096,,,0,-0.0014780339004372145,-0.0,1.0,-1,0
2025-06-05 03:50:00,318.09,,0,0.0003144752979651333,,,0,-0.004024018359583659,-0.0,1.0,-1,0
2025-06-05 03:55:00,317.81,,0,-0.0008802540161588768,,,0,-0.006324533526320675,-0.0,1.0,-1,0
2025-06-05 04:00:00,318.08,,0,0.0008495642050281305,,,0,-0.012638329979879237,-0.0,1.0,-1,0
2025-06-05 04:05:00,317.9,,0,-0.0005658953722333937,,,0,-0.011513054419628688,-0.0,1.0,-1,0
2025-06-05 04:10:00,317.91,,0,3.1456432840748505e-05,,,0,-0.0048755937214934875,-0.0,1.0,-1,0
2025-06-05 17:50:00,317.52,,1,-0.0012267622912146559,,,0,0.005448475686570919,0.0,1.0,1,0
2025-06-05 17:55:00,316.81,,1,-0.002236079617031983,,,0,0.029449827972601872,0.0,1.0,1,0
2025-06-05 18:00:00,315.8,2.7006022925976083,1,-0.0031880306808497183,,,0,0.03600379987333757,0.0,1.0,1,0
2025-06-05 18:05:00,314.06,2.612290922758845,1,-0.005509816339455353,,,0,0.043940648283767425,0.0,1.0,1,0
2025-06-05 18:15:00,314.24,4.5679371544951834,0,0.0005731388906577983,,,0,-0.029372454175152773,-0.0,1.0,-1,0
2025-06-05 18:15:00,316.36,10.112359550561777,0,0.006746435845213838,,,0,,,,-1,0
2025-06-05 18:30:00,319.25,17.645481362295484,0,0.00913516247313173,,,0,,,,-1,0
2025-06-07 19:45:00,326.14,28.862636089877213,-1,0.02158183241973366,,,0,,,,-1,0
2025-06-07 20:50:00,327.17,75.7865168539326,0,0.0031581529404551834,,,0,,,,-1,0
2025-06-07 21:20:00,327.86,76.56334964654708,0,0.002108995323532037,0.021511837153691087,-0.7071067811865475,0,,,,-1,0
2025-06-13 03:00:00,305.01,34.37500000000003,0,-0.06969438174830722,0.023769082101291444,0.7071067811865475,0,,,,-1,0
